식품명	1회제공량
핫치킨(오리지널 L)	174
핫치킨(오리지널 M)	119
핫치킨(나폴리L)	144
핫치킨(나폴리M)	188
핫치킨(씬 L)	114
핫치킨(씬 M)	152
핫치킨(슈퍼시드 함유 도우L)	132
핫치킨(슈퍼시드 함유 도우M)	119
핫치킨 더블치즈엣지(오리지널 L)	146
핫치킨 더블치즈엣지(오리지널 M)	143
먹물 오징어링	182
슈퍼곡물 치킨(10조각)	105
옥수수 버터구이(6개)	178
치킨퐁듀 그라탕	176
퀴노아 치킨 샐러드	358
트러플 리조또	137
포테이토 순살치킨(3조각)	285
프레시 코울슬로	305
프레시 콘샐러드	100
프렌치 라따뚜이	100
하프&하프 스파게티 (NEW 치즈 & 화이트 크림)	329
화이트 크림 스파게티	395
NEW 치즈 볼로네즈 스파게티	392
미닛메이드 스파클링 청포도 1.25L	399
스프라이트 1.5L	1250
스프라이트 500ml	1500
씨그램(레몬맛) 350ml	500
코카콜라 1.25L	200
코카콜라 500ml	1250
코카콜라 제로 1.5L	500
코카콜라 제로 500ml	1500
티본스테이크&쉬림프(클래식)M	188
티본스테이크&쉬림프(클래식)L	101
티본스테이크&쉬림프(크런치)M	123
티본스테이크&쉬림프(크런치)L	121
티본스테이크&쉬림프(리치골드)M	118
티본스테이크&쉬림프(리치골드)L	113
티본스테이크&쉬림프(치즈크러스트)M	106
티본스테이크&쉬림프(치즈크러스트)L	105
더블치즈 티본스테이크(클래식)M	196
더블치즈 티본스테이크(클래식)L	199
더블치즈 티본스테이크(크런치)M	117
더블치즈 티본스테이크(크런치)L	118
더블치즈 티본스테이크(리치골드)M	115
더블치즈 티본스테이크(리치골드)L	110
더블치즈 티본스테이크(치즈크러스트)M	103
더블치즈 티본스테이크(치즈크러스트)L	101
쉬림프올인(클래식)M	192
쉬림프올인(클래식)L	100
쉬림프올인(크런치)M	117
쉬림프올인(크런치)L	124
쉬림프올인(리치골드)M	116
쉬림프올인(리치골드)L	116
쉬림프올인(치즈크러스트)M	104
쉬림프올인(치즈크러스트)L	107
갈릭버터쉬림프(클래식)M	187
갈릭버터쉬림프(클래식)L	101
갈릭버터쉬림프(크런치)M	120
갈릭버터쉬림프(크런치)L	127
갈릭버터쉬림프(리치골드)M	119
갈릭버터쉬림프(리치골드)L	118
갈릭버터쉬림프(치즈크러스트)M	107
갈릭버터쉬림프(치즈크러스트)L	110
토핑킹(크런치)M	118
토핑킹(크런치)L	123
토핑킹(리치골드)M	117
토핑킹(리치골드)L	114
토핑킹(치즈크러스트)M	105
토핑킹(치즈크러스트)L	106
치즈킹(크런치)M	123
치즈킹(크런치)L	126
치즈킹(리치골드)M	122
치즈킹(리치골드)L	117
치즈킹(치즈크러스트)M	110
치즈킹(치즈크러스트)L	109
큐브스테이크(크런치)M	121
큐브스테이크(크런치)L	129
큐브스테이크(리치골드)M	120
큐브스테이크(리치골드)L	121
큐브스테이크(치즈크러스트)M	108
큐브스테이크(치즈크러스트)L	113
갈릭마블 스테이크(크런치)M	118
갈릭마블 스테이크(크런치)L	124
갈릭마블 스테이크(리치골드)M	117
갈릭마블 스테이크(리치골드)L	116
갈릭마블 스테이크(치즈크러스트)M	105
갈릭마블 스테이크(치즈크러스트)L	107
쉬림프&스테이크 올인(크런치)M	117
쉬림프&스테이크 올인(크런치)L	123
쉬림프&스테이크 올인(리치골드)M	119
쉬림프&스테이크 올인(리치골드)L	119
쉬림프&스테이크 올인(치즈크러스트)M	104
쉬림프&스테이크 올인(치즈크러스트)L	106
직화불고기(크런치)M	108
직화불고기(크런치)L	113
직화불고기(리치골드)M	107
직화불고기(리치골드)L	104
직화불고기(치즈크러스트)M	191
직화불고기(치즈크러스트)L	192
수퍼슈프림(크런치)M	115
수퍼슈프림(크런치)L	126
수퍼슈프림(리치골드)M	113
수퍼슈프림(리치골드)L	117
수퍼슈프림(치즈크러스트)M	102
수퍼슈프림(치즈크러스트)L	108
베이컨포테이토(크런치)M	121
베이컨포테이토(크런치)L	131
베이컨포테이토(리치골드)M	119
베이컨포테이토(리치골드)L	122
베이컨포테이토(치즈크러스트)M	107
베이컨포테이토(치즈크러스트)L	113
직화불고기L	168
페페로니M	128
페페로니L	152
수퍼슈프림L	194
치즈M	133
치즈L	158
펩시 500mL	500
펩시 1.25L	1250
칠성사이다 500mL	500
칠성사이다 1.25L	1250
콘샐러드	100
코울슬로	100
크림치킨파스타	351
상하이쉬림프파스타	321
팝콘치킨	134
치즈볼	130
오리지날 윙 4조각	126
오리지날 윙 8조각	252
스파이시윙 4조각	166
스파이시윙 8조각	292
치킨텐더 4조각	150
치킨텐더 8조각	300
리치치즈파스타	366
그뤼에르 퐁듀소스	60
치즈크러스트 디핑소스	11
핫소스	2
바른생피클 L	120
바른생피클 M	70
